"food","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"asparagus",4,5,2,46,8,3,3,2,17,19,0,8,11,0,7,14,2,1,8,9,7,5,4,10,0,0,1,0,15,1,30,11,0,18,4,5,15,2,7,1,10,26,0,0,9,7,0,5,0
"ate a whole pizza",1,0,0,3,0,0,0,0,4,1,0,0,0,1,0,0,0,0,2,0,2,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,4,0,0,0,4,5,1,1,1,0,0,1,0
"ate pizza",3,1,0,10,0,0,1,1,6,3,0,1,0,0,0,0,3,0,4,0,2,1,0,0,1,0,1,0,6,0,3,2,0,3,1,1,3,0,1,0,0,4,0,0,1,1,0,0,0
"avocado",4,11,5,127,4,5,0,3,29,7,2,27,3,5,4,5,8,1,5,11,11,7,1,7,0,3,9,0,6,2,51,14,0,7,3,7,13,5,2,0,5,53,2,2,12,8,1,6,0
"avocados",0,10,0,21,1,2,0,1,6,2,0,3,5,1,0,1,1,0,6,7,4,2,0,2,0,0,1,0,8,1,11,3,1,1,1,4,7,0,2,0,2,10,0,0,4,3,1,1,0
"awesome pizza",0,2,0,7,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0,2,0,3,0,4,0,1,2,0,1,0,0,0,0,1,3,0,0,0,0,0,2,0
"bacon",107,104,70,899,100,106,45,52,358,324,22,310,166,55,66,106,158,15,232,188,269,108,83,165,5,40,98,15,221,32,497,243,16,365,65,70,349,40,164,20,158,682,34,18,202,136,45,133,2
"bacon and",1,2,0,11,2,0,0,1,2,5,1,1,1,1,0,0,1,0,1,0,2,1,1,0,0,0,0,0,4,1,7,4,0,4,1,0,3,0,5,0,2,4,2,0,0,2,1,1,0
"bacon and eggs",4,3,3,21,1,1,0,3,10,3,0,5,8,1,2,0,4,1,2,5,5,4,4,1,0,0,2,1,4,0,8,9,0,10,4,2,7,0,2,1,0,13,0,2,3,3,1,4,0
"bacon and eggs",4,3,3,21,1,1,0,3,10,3,0,5,8,1,2,0,4,1,2,5,5,4,4,1,0,0,2,1,4,0,8,9,0,10,4,2,7,0,2,1,0,13,0,2,3,3,1,4,0
"bacon cheese burger",1,2,0,8,1,0,0,0,2,2,0,1,0,0,0,1,0,0,1,0,5,2,0,1,0,0,0,0,1,1,6,2,0,1,0,1,2,0,0,0,0,4,0,0,3,0,0,0,0
"bacon cheeseburger",1,4,1,20,2,3,3,0,9,8,1,7,1,5,2,2,3,0,6,10,6,4,1,1,0,0,2,1,5,1,11,8,0,6,1,1,10,0,1,0,8,14,2,0,3,4,4,3,0
"bacon cheeseburger with",0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,2,0,2,4,0,0,1,1,0,0,0,0,0,3,1,0,1,0,0,1,0
"bacon fat",0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"bacon grease",2,0,1,4,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0
"bacon is",1,1,0,10,1,0,1,1,2,3,1,2,3,0,0,2,0,1,1,3,2,2,0,0,0,0,2,0,1,0,8,0,0,4,1,2,2,0,0,0,1,2,2,0,1,1,1,0,0
"bacon n eggs",0,0,0,2,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,1,0,0,4,0,0,0,0,0,0,0
"bacon n eggs",0,0,0,2,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,1,0,0,4,0,0,0,0,0,0,0
"bacon on",0,0,0,3,1,0,0,0,4,0,0,1,2,0,0,1,0,0,0,0,3,1,2,0,0,0,0,0,1,0,0,2,0,3,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0
"bacon strips",5,0,3,29,0,2,0,1,2,0,0,11,0,0,1,0,0,0,5,4,1,1,5,2,0,0,1,0,3,0,2,3,1,2,2,0,1,1,0,0,5,4,0,0,5,0,1,9,0
"bacon wrapped",0,2,0,27,4,1,1,1,3,2,0,0,3,5,1,1,4,0,1,1,1,1,0,2,0,1,0,0,0,1,6,3,0,0,2,1,0,0,1,1,2,15,1,0,1,2,0,4,0
"bacon wrapped dates",0,1,0,7,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0
"bacon wrapped dates",0,1,0,7,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0
"bacon wrapped hot dog",0,0,0,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"bacon wrapped hot dog",0,0,0,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"bag of popcorn",0,0,1,6,0,0,0,0,0,2,0,1,2,0,1,2,0,0,3,0,1,1,0,0,0,0,0,0,1,0,2,4,0,4,0,0,4,1,0,0,3,2,2,0,1,1,0,0,0
"bag of pretzels",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
"bagel with cream cheese",0,0,0,7,1,3,1,0,3,0,0,1,0,0,0,1,0,2,1,4,2,0,0,0,0,0,0,0,4,0,13,0,0,1,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0
"bagel with cream cheese",0,0,0,7,1,3,1,0,3,0,0,1,0,0,0,1,0,2,1,4,2,0,0,0,0,0,0,0,4,0,13,0,0,1,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0
"bake a cake",3,2,2,19,3,2,1,0,9,10,1,7,4,5,1,6,4,0,7,3,9,2,0,7,1,0,1,0,12,1,7,9,2,3,4,0,14,0,5,0,4,25,0,0,3,2,3,1,0
"bake chicken",1,1,1,2,0,0,1,2,4,3,0,1,0,0,0,0,3,0,0,0,1,0,2,0,0,1,0,0,1,0,1,1,0,1,0,1,3,0,3,0,0,1,0,0,1,0,0,2,0
"bake cookies",5,6,2,22,5,7,3,3,9,1,0,8,10,4,3,3,4,1,6,6,7,1,2,6,0,3,2,1,4,0,12,3,0,22,1,1,14,0,3,1,0,10,1,1,6,7,4,3,0
"bake some cookies",0,1,0,7,0,1,1,0,6,6,0,3,1,1,2,1,3,0,1,1,3,1,2,1,0,0,1,0,8,0,5,5,0,2,3,0,2,1,1,0,1,10,0,0,4,2,1,3,0
"baked bbq chicken",0,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"baked chicken",7,3,4,13,0,3,1,1,17,16,0,14,2,0,2,1,23,0,5,1,10,0,10,7,0,1,1,0,9,0,7,16,0,11,0,0,8,2,14,0,5,22,0,0,10,2,1,2,0
"baked cookies",3,2,1,3,1,1,0,1,2,2,0,1,2,0,0,1,2,0,0,3,1,0,0,1,0,0,0,0,2,0,3,3,0,3,0,0,3,0,1,0,0,4,0,0,2,1,1,3,0
"baked ham",0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"baked mac n cheese",0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"baked macaroni",0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,5,0,2,0,0,0,0,1,0,0,1,0,1,0,1,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
"baked potato",14,6,3,30,1,4,1,3,14,20,0,14,10,2,3,10,15,1,5,10,10,6,6,5,2,0,5,1,4,1,11,18,1,20,5,4,20,1,12,0,7,31,2,1,11,5,3,4,0
"baked potatoe",1,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,0,1,0,1,1,0,0,0,0,0,0,2,3,0,2,1,0,1,0,2,0,1,9,0,0,2,0,1,0,0
"baked potatoes",3,2,4,8,0,1,2,0,7,5,0,6,1,2,1,4,4,1,1,1,3,3,1,2,1,1,0,0,2,0,1,4,0,10,1,0,6,1,0,0,2,12,0,0,4,4,1,2,0
"baking a cake",6,1,3,10,2,2,0,2,3,1,0,4,0,1,1,1,2,0,5,6,1,1,0,0,0,0,1,0,3,0,6,2,0,2,0,0,2,0,5,0,1,8,2,0,3,1,0,1,0
"baking christmas cookies",0,2,0,2,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,3,0,0,2,0,0,4,0,0,0,0,1,0,0,1,0,2,0,0
"baking cookies",5,6,6,27,1,6,3,1,21,18,1,13,9,4,3,3,12,0,13,5,13,4,3,2,0,4,1,1,7,1,24,14,4,28,0,1,21,1,7,0,5,36,3,0,9,3,5,3,0
"baking cupcakes",1,0,1,5,1,0,0,0,6,1,0,2,2,0,0,0,0,0,3,3,2,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,3,0,2,0,0,1,0,0,1,0,0,0,0
"banana",46,41,16,281,31,42,12,14,130,82,3,112,42,26,27,35,61,7,76,85,72,40,28,46,4,10,35,11,70,9,147,88,7,93,24,25,94,9,40,4,55,204,20,6,78,41,16,33,0
"banana bread",1,2,1,28,4,2,1,1,13,8,0,11,1,6,4,4,1,2,9,9,12,10,1,2,2,1,2,3,5,0,15,2,3,7,3,6,14,3,2,0,4,12,4,2,7,7,2,8,0
"banana chips",0,0,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,5,0,0,0,1,0,1,0
"banana cream pie",2,4,0,19,1,1,0,0,6,2,0,6,0,2,2,0,1,1,2,1,3,0,0,1,0,3,1,2,2,0,7,0,1,3,1,0,1,0,1,2,3,2,3,0,0,2,0,1,0
"banana nut bread",3,0,2,2,0,0,0,0,4,1,0,0,0,0,0,1,0,0,1,0,3,0,1,2,0,0,1,0,1,2,1,4,0,4,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0
"banana peppers",4,0,1,2,0,1,0,1,2,6,0,3,4,1,2,0,0,0,1,2,3,0,0,2,0,0,2,0,0,0,2,2,0,10,1,1,5,0,3,0,0,5,0,0,2,0,1,3,0
"banana pudding",12,4,8,17,0,3,3,2,24,46,0,18,5,0,1,4,12,0,19,2,12,1,14,3,0,0,2,0,10,0,27,29,0,19,3,0,16,1,21,0,14,45,1,0,11,2,0,7,0
"bananas",40,19,9,201,15,39,16,15,138,81,1,92,24,10,17,28,31,5,55,60,63,30,16,26,0,9,19,4,77,2,141,64,3,98,16,14,115,6,57,0,26,152,4,4,60,26,10,23,2
"bananas http",0,0,0,4,0,0,0,0,4,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,4,0,0,1,1,0,0,0,0,0,0
"bananas in",1,0,1,1,1,0,0,1,2,4,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
"bananas lol",0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0
"barbecue chicken",1,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0
"barbeque chicken",2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0
"barley w",0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"bbq chicken",2,8,4,40,5,6,3,9,21,22,0,12,1,0,0,3,11,1,14,14,12,6,2,3,0,2,4,0,21,3,23,14,0,9,1,4,12,1,10,0,8,13,0,0,15,15,4,6,0
"bbq pulled pork",0,0,0,4,0,0,0,0,3,1,0,2,0,0,1,1,0,0,1,2,2,3,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0
"bday cake",5,2,1,10,1,1,1,0,4,5,1,4,3,1,1,2,4,0,7,2,2,0,2,0,0,0,1,0,5,0,9,2,0,7,2,1,5,1,1,0,3,14,0,0,5,1,1,2,0
"beef",79,29,48,285,32,53,25,24,326,201,5,184,82,17,22,44,123,3,113,78,121,27,37,35,4,16,19,2,106,5,205,137,4,178,22,17,175,22,80,5,77,301,8,1,123,60,10,41,1
"beef and",0,0,0,6,2,1,0,1,0,2,0,3,1,0,2,0,0,0,4,0,1,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
"beef brisket",0,0,0,4,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,1,0
"beef burger",0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"beef is",1,1,0,6,1,0,0,1,5,3,0,1,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,2,0,2,4,0,0,1,0,2,1,1,0,2,0,0,0,2,0,0,0,0
"beef jerky",6,13,4,45,6,4,0,2,19,11,0,11,10,11,4,6,10,0,12,9,20,15,5,9,1,1,8,1,6,2,12,6,2,29,9,6,25,2,5,1,12,50,3,1,12,3,6,10,0
"beef lol",1,0,0,5,1,1,1,0,2,2,0,1,0,0,0,1,2,0,3,0,1,0,0,1,0,0,0,0,2,0,1,3,0,3,0,0,2,0,0,0,0,4,0,0,3,0,0,1,0
"beef on",1,0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,1,0,2,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
"beef patties",1,0,1,1,1,0,1,0,1,5,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,2,0,11,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0
"beef patty",0,0,0,1,0,3,0,0,1,6,0,0,0,0,0,0,1,0,3,3,1,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,2,0,3,0,1,3,0,0,2,0,0,0,0
"beef ribs",0,1,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0
"beef sandwich",0,1,0,4,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
"beef stew",5,4,2,20,1,2,2,1,7,5,0,10,9,0,4,2,7,1,3,7,1,0,0,0,0,0,1,1,6,0,15,6,0,13,0,2,3,0,1,1,2,11,1,0,8,2,1,2,0
"beef stroganoff",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0
"beef w",3,0,2,2,0,4,1,1,5,4,0,3,3,0,0,2,2,0,3,3,3,0,3,1,0,0,0,0,2,0,10,2,0,4,0,1,5,0,4,0,0,8,0,0,6,3,0,2,0
"beef wit",3,0,0,2,0,1,0,0,2,3,0,2,1,0,0,0,1,0,2,1,2,0,2,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0
"beef with",3,0,2,7,0,2,3,2,2,10,0,5,2,2,0,3,6,0,5,4,1,0,1,2,0,0,2,1,0,0,7,7,0,4,2,0,8,0,3,0,0,15,1,0,7,7,0,0,0
"beefy crunch burrito",2,1,0,3,1,0,0,0,3,1,1,3,2,0,0,1,1,1,0,1,1,2,2,0,0,0,1,0,3,0,1,1,0,1,0,0,2,0,0,0,1,2,0,0,0,2,0,0,0
"beer and pizza",1,4,1,9,2,1,0,0,3,3,0,3,2,0,0,1,1,2,1,2,5,1,0,1,1,1,1,1,2,1,4,1,0,3,0,3,2,1,1,0,0,6,3,1,1,1,0,2,0
"beet",2,1,0,20,2,0,0,0,2,6,1,3,2,1,3,0,3,0,5,1,3,0,0,1,0,0,0,0,7,0,17,2,0,5,1,1,5,0,0,0,4,11,0,0,2,2,3,1,0
"beets",2,5,0,25,1,5,0,1,5,4,0,3,3,1,1,3,2,0,1,7,9,3,1,2,0,1,1,0,5,1,16,6,0,9,1,2,5,1,2,0,3,12,2,2,6,7,1,2,0
"best pizza",0,3,0,20,2,4,1,4,8,2,0,7,5,1,1,0,0,1,4,5,8,2,0,2,0,0,3,0,6,0,35,0,1,11,0,2,3,1,1,0,1,8,1,0,7,6,0,2,0
"best pizza around",0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0
"best pizza ever",0,1,1,14,1,3,0,1,8,4,0,9,2,1,1,0,0,1,2,2,2,1,0,1,0,0,1,1,6,1,13,4,0,5,0,1,9,0,1,0,1,4,2,0,2,0,1,1,0
"best pizza I''ve had in",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"best pizza in",1,8,2,22,5,2,1,1,10,7,0,15,3,2,1,0,3,1,4,6,0,5,1,5,1,0,3,1,10,0,30,5,0,5,2,1,9,0,1,0,5,15,2,2,3,1,1,2,0
"best pizza in new york",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
